,name,country,region,rating,rating_count,price,value_for_money,price_category
885,Radikon Slatnik 2023,Italy,Friuli-Venezia Giulia,4.1,5027,48,0.09,Budget
889,Rocca di Frassinello Maremma Toscana Poggio Alla Guardia 2023,Italy,Maremma Toscana,3.7,5007,20,0.19,Budget
894,Guerrieri Rizzardi Amarone della Valpolicella Classico Villa Rizzardi 2020,Italy,Amarone della Valpolicella Classico,4.3,4988,59,0.07,Budget
895,Antinori Tignanello 2021,Italy,Toscana,4.5,4980,170,0.03,Premium
897,Manincor Réserve della Contessa 2024,Italy,Südtirol - Alto Adige,4.0,4971,34,0.12,Budget
904,Feudi del Duca Montepulciano d'Abruzzo 2024,Italy,Montepulciano d'Abruzzo,3.7,4936,16,0.23,Budget
905,Feudi del Duca Montepulciano d'Abruzzo 2023,Italy,Montepulciano d'Abruzzo,3.7,4936,10,0.37,Budget
906,Adami Bosco di Gica Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,3.9,4934,23,0.17,Budget
909,Cavicchioli Prosecco,Italy,Prosecco,3.8,4926,17,0.22,Budget
911,Altesino Rosso di Montalcino 2024,Italy,Rosso di Montalcino,3.9,4915,29,0.13,Budget
916,Mauro Molino Langhe Nebbiolo 2024,Italy,Langhe,3.8,4908,26,0.14,Budget
917,Conterno Fantino Barbera d'Alba Vignota 2024,Italy,Barbera d'Alba,3.9,4906,35,0.11,Budget
922,Vespa Il Bruno dei Vespa Primitivo Salento 2023,Italy,Salento,3.9,4890,21,0.19,Budget
925,Michele Chiarlo Barolo Cerequio 2021,Italy,Barolo,4.3,4869,130,0.03,Premium
927,Jeio Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,3.7,4856,18,0.21,Budget
929,Agostina Pieri Brunello di Montalcino 2021,Italy,Brunello di Montalcino,4.2,4846,73,0.06,Mid Range
930,Antinori Villa Antinori Rosso 2021,Italy,Toscana,4.0,4840,26,0.15,Budget
942,Renato Ratti Ochetti Nebbiolo d'Alba 2023,Italy,Nebbiolo d'Alba,3.9,4818,30,0.13,Budget
949,Mastroberardino Lacryma Christi del Vesuvio Rosso 2024,Italy,Vesuvio,3.6,4799,29,0.12,Budget
962,Tinazzi Ca' de' Rocchi Dugal Cabernet Sauvignon - Merlot 2024,Italy,Veneto,4.1,4770,23,0.18,Budget
974,Castorani Cadetto Montepulciano d'Abruzzo 2022,Italy,Montepulciano d'Abruzzo,3.8,4715,13,0.29,Budget
975,Ferrari Rosé,Italy,Trento,3.8,4713,37,0.1,Budget
979,Da Luca Prosecco,Italy,Prosecco,3.7,4701,17,0.21,Budget
984,Tenuta CastelGiocondo Brunello di Montalcino 2012,Italy,Brunello di Montalcino,4.2,4691,100,0.04,Mid Range
992,Masi Costasera Amarone della Valpolicella Classico 2017,Italy,Amarone della Valpolicella Classico,4.3,4666,100,0.04,Mid Range
993,Cantina Zaccagnini Il Vino dal Tralcetto Montepulciano d'Abruzzo 2021,Italy,Montepulciano d'Abruzzo,3.9,4659,21,0.19,Budget
995,Tenuta CastelGiocondo Brunello di Montalcino 2017,Italy,Brunello di Montalcino,4.3,4652,90,0.05,Mid Range
1000,Corte Fiore Lupi Reali Appassimento 2024,Italy,Montepulciano d'Abruzzo,4.0,4641,25,0.16,Budget
1003,Tenuta Rapitalà Campo Reale Nero d'Avola 2023,Italy,Terre Siciliane,3.6,4636,23,0.16,Budget
1014,Taurino Notarpanaro Negroamaro 2014,Italy,Salento,3.9,4609,31,0.13,Budget
1015,Cantine di Ora Amicale 2020,Italy,Veneto,4.0,4607,18,0.22,Budget
1021,Belpoggio Brunello di Montalcino 2020,Italy,Brunello di Montalcino,4.3,4580,52,0.08,Budget
1022,di Lenardo Pinot Grigio (Monovitigno) 2024,Italy,Venezia Giulia,3.7,4579,16,0.24,Budget
1027,Banfi Brunello di Montalcino 2018,Italy,Brunello di Montalcino,4.3,4576,78,0.05,Mid Range
1039,Zenato Ripassa Valpolicella Ripasso Superiore 2020,Italy,Valpolicella Ripasso,4.1,4524,28,0.15,Budget
1042,Terredora Aglianico Campania 2021,Italy,Campania,3.6,4520,17,0.21,Budget
1048,Radikon Oslavje 2020,Italy,Collio,4.2,4509,120,0.04,Premium
1052,Castello Vicchiomaggio San Jacopo Chianti Classico 2024,Italy,Chianti Classico,3.8,4481,17,0.22,Budget
1060,Santa Margherita Pinot Grigio 2022,Italy,Valdadige,4.0,4438,25,0.16,Budget
