name,country,region,rating,rating_count,price
Pierre Peters Cuvée de Réserve Blanc de Blancs Brut Champagne Grand Cru 'Le Mesnil-sur-Oger',"('France',)","(""Champagne Grand Cru 'Le Mesnil-sur-Oger'"",)",4.1,11340,73.59
Casal Garcia Vinho Verde Sweet,"('Portugal',)","('Vinho Verde',)",4.1,11298,13.5
Caymus Vineyards Cabernet Sauvignon 2020,"('United States',)","('Napa Valley',)",4.5,11277,99.99
d'Arenberg The Stump Jump Grenache - Shiraz - Mourvedre 2021,"('Australia',)","('McLaren Vale',)",3.5,11266,17.44
Joel Gott Zinfandel 2023,"('United States',)","('California',)",3.8,11248,20.9
Château Rieussec Carmes de Rieussec Sauternes 1996,"('France',)","('Sauternes',)",4.0,11214,99.99
Ca' del Bosco Franciacorta Edizione Cuvée Prestige,"('Italy',)","('Franciacorta',)",4.2,11212,39.99
Dry Creek Vineyard Zinfandel Heritage Vines 2023,"('United States',)","('Sonoma County',)",3.9,11202,41.79
Caymus Vineyards Cabernet Sauvignon California 2022,"('United States',)","('California',)",4.2,11151,49.99
Ferreira Dona Antonia Porto Reserva Tawny,"('Portugal',)","('Porto',)",4.0,11118,24.0
Ridge Vineyards Estate Cabernet Sauvignon 1986,"('United States',)","('Santa Cruz Mountains',)",4.3,11107,502.0
Storypoint Cabernet Sauvignon 2023,"('United States',)","('California',)",4.0,11107,17.08
Ridge Vineyards Estate Cabernet Sauvignon 2023,"('United States',)","('Santa Cruz Mountains',)",4.3,11107,82.16
